Expresion, Resultado, Fecha
(5 * 7) + (12/6),37.0,2023-10-26 23:53:42
(5 * 7) + (12/6),37.0,2023-10-26 23:58:39
(5 * (10 - 15)) + 7,-18.0,2023-10-26 23:58:49
5 * 3 / 8 + (95 % 5 - 10) ,-8.125,2023-10-26 23:59:03
7*(5+8**2)-6,477.0,2023-10-26 23:59:15
(1^0)&(0&1),false,2023-10-26 23:59:30
~(1^0)|1,true,2023-10-26 23:59:37
((1^0)&(0&1))^0,false,2023-10-26 23:59:47
(1|0)&1 ,true,2023-10-26 23:59:58
3*(4+3),21.0,2023-10-27 00:01:17
5 * 6 / 8 + (58 % 5),6.75,2023-10-27 00:12:13
7**7 + 8 / 9*4 ,823546.5555555555,2023-10-27 00:12:28
